1	0.4791	0.9658	0.7181	0.9726
6	0.5035	0.9689	0.7200	0.9752
11	0.5003	0.9587	0.7181	0.9668
16	0.5056	0.9264	0.7200	0.9421
21	0.4978	0.9596	0.7123	0.9676
26	0.5008	0.8995	0.7123	0.9182
31	0.4953	0.8632	0.7104	0.8877
36	0.4947	0.9270	0.7065	0.9427
41	0.4972	0.9225	0.7084	0.9389
46	0.4990	0.8624	0.7104	0.8918
51	0.4993	0.8601	0.7123	0.8936
56	0.4919	0.9002	0.7104	0.9229
61	0.4955	0.7688	0.7065	0.8242
66	0.5008	0.8302	0.7123	0.8718
71	0.5000	0.8380	0.7123	0.8747
76	0.4845	0.8535	0.6948	0.8915
81	0.4955	0.8433	0.7065	0.8824
86	0.4808	0.7381	0.6909	0.8196
91	0.4752	0.8421	0.6850	0.8776
96	0.4636	0.7257	0.6733	0.8083
101	0.4955	0.7926	0.7065	0.8462
106	0.4827	0.7378	0.6929	0.8179
111	0.4882	0.7802	0.6987	0.8377
116	0.4412	0.7786	0.6515	0.8423
121	0.4975	0.7213	0.7104	0.8081
126	0.4770	0.7652	0.6870	0.8344
131	0.4937	0.6633	0.7045	0.7754
136	0.4864	0.7357	0.6968	0.8173
141	0.4655	0.7527	0.6752	0.8256
146	0.4033	0.6500	0.6176	0.7679
151	0.4495	0.7687	0.6595	0.8362
156	0.4694	0.7700	0.6792	0.8351
161	0.4955	0.7714	0.7065	0.8400
166	0.4172	0.7285	0.6296	0.8180
171	0.3785	0.7055	0.5973	0.8021
176	0.4918	0.7398	0.7026	0.8198
181	0.4412	0.6507	0.6515	0.7768
186	0.4217	0.7193	0.6336	0.8114
191	0.4616	0.7089	0.6713	0.8028
196	0.4655	0.7335	0.6752	0.8128
200	0.4733	0.6977	0.6831	0.7949
