200	1.3987	2.5859	0.1686	0.3147	0.4509	0.5224
200	1.8818	4.5076	0.1727	0.3367	0.4619	0.5483
200	2.5541	7.1820	0.2105	0.4516	0.5000	0.6387
200	3.4157	10.6093	0.2470	0.4762	0.5320	0.6619
200	4.4666	14.7894	0.2224	0.4714	0.5182	0.6748
200	5.7067	19.7223	0.2621	0.5741	0.5512	0.7423
200	7.1360	25.4080	0.2327	0.5166	0.5320	0.7028
200	8.7546	31.8465	0.2953	0.5667	0.5827	0.7362
200	10.5625	39.0378	0.2875	0.5879	0.5643	0.7490
200	12.5596	46.9819	0.3352	0.6500	0.5935	0.7818
200	14.7460	55.6789	0.3512	0.6720	0.6199	0.8048
200	17.1216	65.1286	0.3643	0.6702	0.6267	0.7982
200	19.6865	75.3312	0.3894	0.6896	0.6437	0.8143
200	22.4406	86.2866	0.4033	0.7272	0.6404	0.8389
200	25.3840	97.9948	0.4428	0.7189	0.6896	0.8208
200	28.5166	110.4558	0.4278	0.7411	0.6637	0.8405
200	31.8385	123.6696	0.4300	0.7023	0.6751	0.8241
200	35.3496	137.6362	0.4498	0.7177	0.6848	0.8325
200	39.0500	152.3556	0.4757	0.6988	0.6928	0.8030
200	42.9397	167.8279	0.4526	0.7984	0.6912	0.8774
200	47.0186	184.0529	0.4748	0.7611	0.7055	0.8497
200	51.2867	201.0308	0.4826	0.7706	0.7055	0.8579
200	55.7441	218.7615	0.4989	0.8163	0.7273	0.8821
200	60.3908	237.2450	0.5078	0.7995	0.7212	0.8677
200	65.2267	256.4813	0.5415	0.8548	0.7472	0.9060
200	70.2518	276.4704	0.5117	0.7818	0.7335	0.8675
200	75.4662	297.2123	0.5458	0.8439	0.7578	0.8953
200	80.8699	318.7070	0.4633	0.7512	0.6880	0.8475
200	86.4628	340.9546	0.5273	0.8349	0.7442	0.8928
200	92.2450	363.9549	0.5335	0.7836	0.7442	0.8520
200	98.2164	387.7081	0.5387	0.8094	0.7472	0.8659
200	104.3771	412.2140	0.5624	0.8220	0.7637	0.8883
200	110.7270	437.4728	0.5385	0.8596	0.7457	0.9033
200	117.2662	463.4844	0.5030	0.7677	0.7134	0.8517
200	123.9946	490.2488	0.5323	0.8325	0.7442	0.8816
200	130.9123	517.7660	0.5426	0.7934	0.7532	0.8691
200	138.0193	546.0361	0.5271	0.7873	0.7457	0.8757
200	145.3155	575.0589	0.5431	0.7799	0.7502	0.8552
200	152.8009	604.8346	0.5552	0.8542	0.7607	0.9055
200	160.4756	635.3630	0.5445	0.8518	0.7472	0.8985
