1	0.4084	0.7114	0.6456	0.7815
6	0.4021	0.7267	0.6336	0.7920
11	0.4160	0.7378	0.6476	0.7992
16	0.3825	0.5872	0.6075	0.6796
21	0.3896	0.6715	0.6135	0.7479
26	0.3823	0.5764	0.6115	0.6693
31	0.3645	0.5426	0.5932	0.6614
36	0.3287	0.5573	0.5727	0.6646
41	0.3752	0.6463	0.5932	0.7302
46	0.3273	0.4968	0.5582	0.6098
51	0.3733	0.6399	0.5932	0.7319
56	0.3615	0.6221	0.5953	0.7149
61	0.3140	0.4758	0.5457	0.6011
66	0.3182	0.5046	0.5540	0.6296
71	0.3072	0.4973	0.5394	0.6143
76	0.3266	0.5385	0.5561	0.6711
81	0.2935	0.5409	0.5288	0.6712
86	0.2784	0.5108	0.5288	0.6511
91	0.2898	0.4693	0.5373	0.6110
96	0.3051	0.5607	0.5436	0.6869
101	0.3133	0.5757	0.5540	0.6993
106	0.3265	0.6663	0.5624	0.7454
111	0.2847	0.5438	0.5288	0.6761
116	0.2643	0.4029	0.5203	0.5628
121	0.2824	0.4394	0.5267	0.5812
126	0.2569	0.5022	0.5096	0.6353
131	0.2962	0.4572	0.5394	0.5894
136	0.2731	0.4828	0.5267	0.6226
141	0.2801	0.5129	0.5288	0.6472
146	0.2111	0.3992	0.4922	0.5620
151	0.2721	0.5665	0.5203	0.6786
156	0.2601	0.5543	0.5160	0.6889
161	0.2064	0.3870	0.4900	0.5621
166	0.2117	0.4425	0.4900	0.6235
171	0.2313	0.4876	0.5009	0.6424
176	0.2932	0.4999	0.5394	0.6371
181	0.2540	0.4504	0.5052	0.5950
186	0.2524	0.4782	0.5117	0.6369
191	0.2674	0.5030	0.5203	0.6320
196	0.2051	0.4324	0.4835	0.6166
200	0.2585	0.4985	0.5139	0.6488
