SMOTEBoost	10	1	1.50	1.87	0.3369	0.5673	0.1950	0.4406
SMOTEBoost	100	1	1.53	1.79	0.2509	0.4844	0.2367	0.4532
SMOTEBoost	200	1	1.50	2.46	0.2312	0.4740	0.2187	0.4319
SMOTEBoost	10	4	6.25	13.72	0.7445	0.8485	0.6492	0.7769
SMOTEBoost	100	4	9.72	17.42	0.7122	0.8234	0.6273	0.7675
SMOTEBoost	200	4	6.74	19.17	0.6824	0.8009	0.6005	0.7436
SMOTEBoost	10	8	28.98	61.35	0.9722	0.9832	0.9424	0.9647
SMOTEBoost	100	8	44.36	65.70	0.9701	0.9824	0.9022	0.9355
SMOTEBoost	200	8	41.78	75.42	0.9345	0.9570	0.8678	0.9101
RUSBoost	10	1	1.50	1.87	0.2670	0.5161	0.1841	0.4236
RUSBoost	100	1	1.53	1.79	0.2101	0.4578	0.1227	0.3508
RUSBoost	200	1	1.50	2.46	0.1887	0.4441	0.0888	0.3176
RUSBoost	10	4	6.25	13.72	0.6877	0.8141	0.5335	0.7047
RUSBoost	100	4	9.72	17.42	0.4322	0.6674	0.3097	0.5772
RUSBoost	200	4	6.74	19.17	0.5742	0.7320	0.2952	0.5705
RUSBoost	10	8	28.98	61.35	0.9693	0.9820	0.7706	0.8517
RUSBoost	100	8	44.36	65.70	0.9608	0.9759	0.6896	0.8218
RUSBoost	200	8	41.78	75.42	0.9122	0.9459	0.4592	0.6713
UnderBagging	10	1	1.50	1.87	0.2754	0.5245	0.2509	0.4902
UnderBagging	100	1	1.53	1.79	0.2149	0.4558	0.1988	0.4370
UnderBagging	200	1	1.50	2.46	0.1958	0.4488	0.2000	0.4356
UnderBagging	10	4	6.25	13.72	0.7546	0.8535	0.7155	0.8253
UnderBagging	100	4	9.72	17.42	0.7099	0.8210	0.6585	0.7835
UnderBagging	200	4	6.74	19.17	0.6959	0.8111	0.6522	0.7826
UnderBagging	10	8	28.98	61.35	0.9649	0.9789	0.9486	0.9680
UnderBagging	100	8	44.36	65.70	0.9689	0.9797	0.9265	0.9552
UnderBagging	200	8	41.78	75.42	0.9571	0.9736	0.9186	0.9504
BalanceCascade	10	1	1.50	1.87	0.2557	0.5151	0.1718	0.4306
BalanceCascade	100	1	1.53	1.79	0.2281	0.4715	0.1376	0.3862
BalanceCascade	200	1	1.50	2.46	0.1810	0.4496	0.1302	0.3785
BalanceCascade	10	4	6.25	13.72	0.7483	0.8506	0.6952	0.8103
BalanceCascade	100	4	9.72	17.42	0.6957	0.8129	0.6417	0.7756
BalanceCascade	200	4	6.74	19.17	0.7006	0.8140	0.6395	0.7745
BalanceCascade	10	8	28.98	61.35	0.9764	0.9864	0.9650	0.9792
BalanceCascade	100	8	44.36	65.70	0.9558	0.9737	0.9308	0.9561
BalanceCascade	200	8	41.78	75.42	0.9497	0.9697	0.9113	0.9472
SelfPacedEnsemble	10	1	1.50	1.87	0.2677	0.5159	0.2503	0.4723
SelfPacedEnsemble	100	1	1.53	1.79	0.2433	0.4813	0.2257	0.4482
SelfPacedEnsemble	200	1	1.50	2.46	0.2176	0.4641	0.2515	0.4726
SelfPacedEnsemble	10	4	6.25	13.72	0.7458	0.8500	0.6866	0.7971
SelfPacedEnsemble	100	4	9.72	17.42	0.6890	0.8085	0.6488	0.7747
SelfPacedEnsemble	200	4	6.74	19.17	0.6710	0.7964	0.5707	0.7196
SelfPacedEnsemble	10	8	28.98	61.35	0.9704	0.9834	0.8988	0.9251
SelfPacedEnsemble	100	8	44.36	65.70	0.9639	0.9784	0.8044	0.8622
SelfPacedEnsemble	200	8	41.78	75.42	0.9483	0.9672	0.7601	0.8367
RAMOBoost	10	1	1.50	1.87	0.2713	0.5211	0.1346	0.3992
RAMOBoost	100	1	1.53	1.79	0.2780	0.5046	0.2238	0.4458
RAMOBoost	200	1	1.50	2.46	0.1820	0.4446	0.1865	0.4150
RAMOBoost	10	4	6.25	13.72	0.7271	0.8362	0.5634	0.7243
RAMOBoost	100	4	9.72	17.42	0.5624	0.7250	0.4225	0.6177
RAMOBoost	200	4	6.74	19.17	0.5490	0.7144	0.5004	0.6821
RAMOBoost	10	8	28.98	61.35	0.9772	0.9862	0.9108	0.9492
RAMOBoost	100	8	44.36	65.70	0.9608	0.9755	0.8582	0.9068
RAMOBoost	200	8	41.78	75.42	0.9328	0.9578	0.8140	0.8772
