1	0.5078	0.9875	0.7200	0.9899
6	0.5078	0.9473	0.7200	0.9564
11	0.5078	0.9812	0.7200	0.9851
16	0.5061	0.9267	0.7181	0.9409
21	0.5078	0.9624	0.7200	0.9706
26	0.5061	0.9330	0.7181	0.9477
31	0.4955	0.9346	0.7065	0.9477
36	0.5061	0.8792	0.7181	0.9036
41	0.5043	0.8886	0.7162	0.9152
46	0.5061	0.8877	0.7181	0.9097
51	0.4972	0.8666	0.7084	0.8966
56	0.4972	0.8621	0.7084	0.8956
61	0.4972	0.8516	0.7084	0.8899
66	0.4937	0.8201	0.7045	0.8681
71	0.4972	0.8852	0.7084	0.9133
76	0.4955	0.7769	0.7065	0.8395
81	0.5008	0.7613	0.7123	0.8322
86	0.4990	0.8093	0.7104	0.8598
91	0.4655	0.7672	0.6752	0.8357
96	0.4882	0.7956	0.6987	0.8481
101	0.4864	0.7952	0.6968	0.8545
106	0.4955	0.7988	0.7065	0.8507
111	0.4636	0.7082	0.6733	0.8000
116	0.4937	0.7357	0.7045	0.8084
121	0.4675	0.7320	0.6772	0.8120
126	0.4616	0.6871	0.6713	0.7954
131	0.4536	0.7013	0.6634	0.7991
136	0.4918	0.7284	0.7026	0.8146
141	0.4900	0.7468	0.7006	0.8232
146	0.4636	0.7202	0.6733	0.8088
151	0.4675	0.7282	0.6772	0.8146
156	0.4556	0.6588	0.6654	0.7786
161	0.4845	0.6965	0.6948	0.7984
166	0.4808	0.7460	0.6909	0.8136
171	0.4454	0.6689	0.6555	0.7857
176	0.4789	0.7122	0.6889	0.8028
181	0.4412	0.7062	0.6515	0.7898
186	0.4955	0.7193	0.7065	0.7972
191	0.4195	0.6892	0.6316	0.7873
196	0.4033	0.6455	0.6176	0.7790
200	0.4495	0.6782	0.6595	0.7743
